player_name,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added,goals_added_per_90
Axel Kei,RSL,2023,ST,12,0.03,0,0,-0.01,0.04,0.1,0.14,1.05
Juninho,ORL,2023,DM,3,0.01,0,0.01,0,0,0.01,0.03,0.9
Nicolas Firmino,ATL,2023,DM,11,-0.01,0,0,-0.03,0.07,0.04,0.08,0.6545454545
Alejandro Granados Torres,ORL,2023,W,2,0,0,0,-0.01,0,0.02,0.01,0.45
Robbie Robinson,MIA,2023,W,383,1.09,0.01,-0.02,-0.22,0.2,0.41,1.48,0.3477806789
Yekeson Subah,LAFC,2023,W,24,0.11,0,0.01,0,-0.01,-0.01,0.09,0.3375
Lionel Messi,MIA,2023,ST,409,0.28,0.2,-0.1,0.56,0.22,0.29,1.44,0.3168704156
Filip Yavorov Krastev,LAFC,2023,CM,207,0.19,-0.01,0.16,0.05,0.12,0.15,0.66,0.2869565217
Selmir Pidro,STL,2023,FB,53,0.03,-0.02,0.03,0.13,-0.01,-0.01,0.15,0.2547169811
Julian Hall,NYRB,2023,ST,18,-0.01,0,0.09,0.01,-0.02,-0.01,0.05,0.25
Tani Oluwaseyi,MIN,2023,W,22,0,0,0,0.01,0.05,0,0.06,0.2454545455
Gerardo Valenzuela,CIN,2023,AM,15,0,0,0.1,-0.03,-0.01,-0.01,0.04,0.24
Paul Gindiri,RSL,2023,ST,39,-0.08,0,-0.01,0.01,0.16,0.02,0.1,0.2307692308
Cameron Cilley,SJE,2023,ST,8,0.01,0,0.04,-0.03,0,0,0.02,0.225
Cucho Hernández,CLB,2023,ST,2628,1.34,0.28,0.32,0.93,0.94,2.33,6.13,0.2099315068
Kayden Pierre,SKC,2023,FB,13,0,0.02,-0.01,0.02,0,0,0.03,0.2076923077
Chris Rindov,SKC,2023,CB,13,0,0,0.02,0.01,0,0,0.03,0.2076923077
Isaiah Parente,CLB,2023,ST,81,0.04,-0.01,0.07,-0.03,0.04,0.05,0.18,0.2
Matthew Nocita,NYRB,2023,CB,32,0,0,0.05,0,0.02,0.01,0.07,0.196875
Cristian Olivera,LAFC,2023,W,661,0.03,0.2,0.16,0.02,0.78,0.24,1.43,0.1947049924
Emanuel Reynoso,MIN,2023,AM,1478,0.91,0.4,0.05,1.48,-0.05,0.22,3.01,0.1832882273
Brian White,VAN,2023,ST,2804,-0.24,0.18,-0.02,-0.92,5.69,0.98,5.66,0.1816690442
Monsef Bakrar,NYC,2023,ST,807,0.4,0.14,-0.03,0.09,0.95,0.03,1.57,0.1750929368
Riqui Puig,LAG,2023,CM,2807,2.14,0.39,-0.37,2.33,-0.05,0.93,5.37,0.1721767011
Thiago Almada,ATL,2023,AM,3052,2.04,-0.02,-0.37,3.31,-0.5,1.02,5.49,0.1618938401
Aaron-Salem Boupendza,CIN,2023,ST,669,0.71,-0.01,-0.03,-0.51,0.71,0.29,1.17,0.1573991031
Héctor Herrera,HOU,2023,CM,2833,0.63,0.3,0.48,1.58,0.82,0.76,4.57,0.1451817861
Luciano Acosta,CIN,2023,AM,2876,0.41,0.83,0.08,3.04,-0.21,0.29,4.44,0.1389429764
Gadi Kinda,SKC,2023,CM,962,0.23,0.55,-0.24,0.34,0.56,0.04,1.48,0.1384615385
Tega Ikoba,POR,2023,ST,104,-0.01,-0.02,0,-0.03,0.19,0.03,0.16,0.1384615385
Ousman Jabang,MTL,2023,CB,86,-0.02,-0.07,0.03,0.03,0.13,0.03,0.13,0.1360465116
Denis Bouanga,LAFC,2023,W,2815,1.67,0.48,-0.18,-0.98,1.57,1.64,4.2,0.1342806394
Bongokuhle Hlongwane,MIN,2023,W,2716,0.16,-0.06,0.38,-0.58,3.36,0.79,4.04,0.1338733432
Emmanuel Iwe,MIN,2023,W,69,0.12,0,-0.04,-0.07,0.03,0.05,0.1,0.1304347826
Alex Monis,CHI,2023,W,14,0.03,0,0.01,0,-0.01,-0.01,0.02,0.1285714286
Henry Kessler,NER,2023,CB,755,-0.09,0.04,0.89,0.06,0.11,0.06,1.07,0.1275496689
Lazar Stefanovic,TOR,2023,CB,86,-0.02,0.01,0.15,0.01,-0.02,-0.01,0.12,0.1255813953
Jean Mota,MIA,2023,DM,1028,0.16,0.01,0.77,0.6,-0.24,0.1,1.39,0.121692607
