"player_id","season_name","general_position","team_id","minutes_played","goals_added_above_avg_Dribbling","goals_added_above_avg_Fouling","goals_added_above_avg_Interrupting","goals_added_above_avg_Passing","goals_added_above_avg_Receiving","goals_added_above_avg_Shooting","count_actions_Dribbling","count_actions_Fouling","count_actions_Interrupting","count_actions_Passing","count_actions_Receiving","count_actions_Shooting","offensive_goals_added"
"0Oq60APM6D","2013","CB","0KPqjA456v",1809,0.1379,0.1516,-1.1726,-0.5952,-0.4026,-0.2029,86,22,387,515,334,0,-0.9112
"0Oq60APM6D","2013","CM","0KPqjA456v",8,-8e-04,9.9009e-06,-0.0013,-0.0026,-0.0037,-0.0021,0,0,2,0,0,0,-0.0091900991
"0Oq60APM6D","2014","CB","0KPqjA456v",1868,-0.0374,-0.5496,0.0349,-0.0201,-0.3859,-0.2096,111,31,356,603,418,0,-1.2026
"0Oq60APM6D","2015","CB","Vj58weDM8n",2474,-0.0264,0.1776,-1.6048,-0.046,-0.3216,-0.1946,223,49,469,953,651,3,-0.411
"0Oq60APM6D","2016","CB","Vj58weDM8n",1546,0.034,-0.1792,-0.1523,-0.1411,-0.3398,-0.1734,170,30,231,734,524,0,-0.7995
"0Oq60APM6D","2016","FB","Vj58weDM8n",893,-0.1896,0.0394,0.2038,-0.0296,-0.1815,-0.1033,76,18,124,450,289,0,-0.4646
"0Oq60APM6D","2016","ST","Vj58weDM8n",12,5e-04,-0.0018,0.009,0.0111,-0.0256,-0.009,1,0,4,3,3,0,-0.0248
"0Oq60APM6D","2016","W","Vj58weDM8n",12,-0.0024,-0.0012,0.0088,0.0215,-0.0126,-0.0061,0,0,2,7,3,0,-0.000800000000000001
"0Oq60APM6D","2017","CB","kRQabn8MKZ",551,-0.0503,0.0633,-0.0835,-0.1232,-0.1187,-0.0619,32,5,83,179,104,0,-0.2908
"0Oq60APM6D","2017","W","kRQabn8MKZ",24,-0.0038,-0.0024,-0.0266,0.013,-0.0259,-0.0123,1,0,1,6,5,0,-0.0314
"0Oq60APM6D","2018","CB","kRQabn8MKZ",569,-0.0244,0.0524,-0.2259,-0.02,-0.1083,-0.022,59,9,96,232,181,1,-0.1223
"0Oq60APM6D","2018","FB","kRQabn8MKZ",8,-6e-04,5e-04,-0.0414,7e-04,-0.0018,-9e-04,0,0,4,3,0,0,-0.0021
"0Oq60VgM6D","2013","CB","X0Oq66zq6D",95,0.0167,0.0066,-0.0051,0.0374,0.006,-0.0106,21,1,22,52,36,0,0.0561
"0Oq60VgM6D","2013","CM","X0Oq66zq6D",2281,-0.0319,0.2969,-1.029,0.1777,-0.3238,0.0476,196,58,302,914,576,31,0.1665
"0Oq60VgM6D","2013","DM","X0Oq66zq6D",648,-0.4638,-0.0391,-0.0691,-0.1851,0.6703,0.1398,65,19,91,255,156,14,0.1221
"0Oq60VgM6D","2014","CB","X0Oq66zq6D",1357,-0.0548,0.1286,0.1336,-0.1486,-0.0348,0.2036,128,20,250,580,376,19,0.094
"0Oq60VgM6D","2014","CM","X0Oq66zq6D",1365,0.0447,0.0251,-0.16,-0.1118,-0.0293,0.1142,133,44,207,649,425,20,0.0429
"0Oq60VgM6D","2014","DM","X0Oq66zq6D",489,0.0248935825,0.0258,-0.035,-0.1394,0.0557,-0.0326,51,9,61,246,170,4,-0.0656064175
"0Oq60VgM6D","2015","CB","X0Oq66zq6D",2814,-0.4507,-0.0396,1.1042,-0.3284,0.3676,0.1489,268,56,567,1273,853,34,-0.3022
"0Oq60VgM6D","2016","AM","kaDQ0wRqEv",63,0.0018,-0.0077,0.0365,-0.0307,-0.0438,-0.0323,11,2,6,41,36,0,-0.1127
"0Oq60VgM6D","2016","CM","kaDQ0wRqEv",584,-0.1726,-0.0072,0.1457,-0.0584,-0.1555,-0.084,54,14,63,235,182,4,-0.4777
"0Oq60VgM6D","2016","DM","kaDQ0wRqEv",952,-0.3203,-0.0298,-0.3051,0.048,0.2722,-0.0156,102,32,111,442,332,7,-0.0455
"0Oq60VgM6D","2016","W","kaDQ0wRqEv",122,-0.0105,-0.0173,-0.013,0.1108,-0.1131,-0.0625,6,2,18,51,32,0,-0.0926
"0Oq60VgM6D","2017","AM","KAqBN0Vqbg",24,6e-04,-0.0027,-0.0063,0.0174,-0.0213,-0.0123,4,0,4,23,19,0,-0.0183
"0Oq60VgM6D","2017","CB","KAqBN0Vqbg",516,0.0759,0.0066,-0.2499,0.0573,0.0055,-0.0091,85,14,94,291,220,6,0.1362
