"player_id","player_name","birth_date","height_ft","height_in","nationality","weight_lb"
"p6qbOXVXQ0","A.J. Cochran","1993-02-09",6,3,"USA",196
"315VDkYQ9x","A.J. DeLaGarza","1987-11-04",5,9,"USA",152
"Oa5wV7E9M1","A.J. Palazzolo","1998-02-18",6,1,"USA",165
"wvq9eEX3qW","A.J. Paterson","1996-01-31",6,2,"USA",187
"4wM42Jezqj","A.J. Soares","1988-11-28",6,0,"USA",172
"4wM4J2pBqj","Aaron Cervantes","2002-03-20",5,11,"USA",165
"4JMA9n31MK","Aaron Dennis","1993-02-24",6,2,"US Virgin Islands",181
"2lqRkO3DQr","Aaron Gómez","1994-08-24",5,9,"Mexico",157
"NWMWVPyZQl","Aarón Guillén","1993-06-23",5,0,"USA",159
"vzqoJB2Z5a","Aaron Heard","2006-12-28",5,8,"USA",123
"a35rKYrAqL","Aaron Herrera","1997-06-06",5,11,"USA",157
"Vj58YlvEq8","Aaron Horton","1992-05-19",5,9,"USA",165
"315VXGwYQ9","Aaron Jones","1994-03-12",5,9,"England",161
"KAqBeBmW5b","Aaron Katsimpalis","1998-11-27",NA,NA,"USA",NA
"odMXR1EGqY","Aaron King","1984-07-26",6,0,"USA",174
"XVqKWYGWq0","Aaron Kovar","1993-08-14",5,10,"USA",157
"7VqG0axdQv","Aaron Lombardi","1995-12-20",5,11,"USA",165
"e7Mz913GQr","Aaron Long","1992-10-12",6,1,"USA",174
"7vQ7ANe5D1","Aaron Maund","1990-09-19",6,1,"USA",185
"9z5kbL8bMA","Aaron Messer","2003-05-21",5,11,"USA",154
"9Yqd6bnoMv","Aaron Molloy","1997-01-11",5,11,"Republic of Ireland",165
"7vQ7xDLOMD","Aaron O'Malley","2004-01-08",5,10,"USA",159
"NPqxk9x59d","Aaron Pitchkolan","1983-03-14",6,2,"USA",185
"KPqjoWOnQ6","Aaron Schoenfeld","1990-04-17",6,4,"USA",192
"315VPZLnQ9","Aaron Smith","2000-03-17",5,11,"USA",174
"aDQ0PnXRQE","Aaron Walker","1990-06-04",5,11,"USA",165
"vzqory4B5a","Aaron Wheeler","1988-05-11",6,4,"USA",198
"zeQZey71qK","Abasa Aremeyaw","2003-08-15",NA,NA,"Ghana",NA
"EGMPnvgxqa","Abass Mohammed","1994-07-15",5,9,"Ghana",161
"Oa5wVYNBM1","Abby Dahlkemper","1993-05-13",5,7,"USA",NA
"eV5DzwxEQK","Abby Elinsky","1996-01-08",5,9,"USA",110
"p6qbegX350","Abby Erceg","1989-11-20",5,10,"New Zealand",150
"NWMWox9YMl","Abby Small",NA,5,9,NA,NA
"7vQ7rjrGqD","Abby Smith","1993-10-04",5,9,"USA",NA
"gpMOo2BOMz","Abdallah Shaibu","1998-10-21",6,2,"Tanzania",170
"jYQJaKDWqG","Abdellatif Aboukoura","2004-10-16",5,9,"USA",152
"kRQa2xy8MK","Abdi Mohamed","1996-10-25",5,11,"Kenya",150
"OlMlel6N5L","Abdou Mbacke Thiam","1992-02-03",6,0,"Senegal",163
"gjMN694KMK","Abdoul Zanne","2003-02-18",5,5,"Ivory Coast",130
"NPqxxvdjq9","Abdoulaye Cisse","1997-08-25",5,10,"USA",170
"7VqG0oaYQv","Abdoulaye Cissoko","1999-12-27",6,2,"France",161
"4JMAozX7qK","Abdoulaye Diop","1999-09-17",6,0,"USA",176
"xW5pXAl5g1","Abdoulie Mansally","1989-01-27",5,10,"Gambia",161
"Vj58WkB4M8","Abdul Illal Osumanu","1996-08-20",6,0,"Ghana",181
"KAqB9POB5b","Abdul Rwatubyaye","1996-10-23",6,1,"Rwanda",176
"Oa5wZWXM14","Abel Aguilar","1985-01-06",6,1,"Colombia",181
"ljqEJzKYQx","Abel Caputo","2000-07-11",5,10,"Venezuela",161
"xW5pyW70qg","Abel Mendoza","2003-01-07",5,9,"USA",163
"vzqo7EvNqa","Abigail Kim","1999-07-19",5,7,"USA",NA
"0x5g23VwM7","Abigail Steele","1993-09-18",NA,NA,"USA",NA
"kRQaWAEj5K","Abokye Bikyeombe","2006-05-24",NA,NA,"USA",NA
"NWMWL3z75l","Aboubacar Keita","2000-04-06",6,2,"USA",179
"7VqG0pVdQv","Aboubacar Sissoko","1995-10-09",6,0,"Mali",165
