"team_id","team_name","team_short_name","team_abbreviation"
"kRQa8JOqKZ","Angel City FC","Angel City","LA"
"wvq9jx1QWn","Atlanta United 2","Atlanta","ATL"
"KAqBN0Vqbg","Atlanta United FC","Atlanta","ATL"
"0x5gJawM7O","Austin Bold FC","Austin","ATX"
"gpMOLwl5zy","Austin FC","Austin","ATX"
"Oa5w0kDq14","Birmingham Legion FC","Birmingham","BHM"
"4wM4Ezg5jB","Boston Breakers","Boston","BOS"
"vzqow0Bqap","Central Valley Fuego FC","Fuego","CV"
"APk5LGOMOW","CF Montréal","Montréal","MTL"
"0OlMlzRqLz","Charleston Battery","Charleston","CHS"
"NPqxKXZ59d","Charlotte FC","Charlotte","CLT"
"odMX7pAQYL","Charlotte Independence","Charlotte","CLT"
"p6qb32XQ0G","Chattanooga Red Wolves SC","Chattanooga","CHA"
"X0Oq66zq6D","Chicago Fire FC","Chicago","CHI"
"0x5gb3bM7O","Chicago Fire FC II","Chicago","CHI"
"KPqjw8PQ6v","Chicago Red Stars","Chicago","CHI"
"4wM42l4qjB","Chivas USA","Chivas","CHV"
"pzeQZ6xQKw","Colorado Rapids","Colorado","COL"
"7VqG1oWMvW","Colorado Rapids 2","Colorado","COL"
"9YqdojR5vJ","Colorado Springs Switchbacks FC","Colorado Springs","COS"
"mvzqoLZQap","Columbus Crew","Columbus","CLB"
"0Oq6Yad56D","Columbus Crew 2","Columbus","CLB"
"EKXMeX3Q64","D.C. United","D.C. United","DCU"
"NWMWg9LMlz","Detroit City FC","Detroit","DET"
"7VqGLwzQvW","El Paso Locomotive FC","El Paso","ELP"
"NWMWlBK5lz","FC Cincinnati","Cincinnati","CIN"
"gpMOXy25zy","FC Cincinnati 2","Cincinnati","CIN"
"mKAqBBmqbg","FC Dallas","Dallas","FCD"
"9Yqda8OQvJ","FC Edmonton","Edmonton","EDM"
"kRQaWa15KZ","FC Kansas City","Kansas City","KC"
"4wM4Z04qjB","FC Tucson","Tucson","TUC"
"e7MzZbKMr0","FC Tulsa","Tulsa","TUL"
"vzqoeBpMap","Fort Lauderdale CF","Fort Lauderdale","FTL"
"aDQ0L0lQEv","Fort Lauderdale Strikers","Fort Lauderdale","FTL"
"e7Mz0LJqr0","Forward Madison FC","Madison","MAD"
"EGMPr2yqaY","Fresno FC","Fresno","FRS"
"N6MmGYWqEG","Greenville Triumph SC","Greenville","GVL"
"eVq3rNX5WO","Hartford Athletic","Hartford","HFD"
"4JMAk47qKg","Houston Dash","Houston","HOU"
"YgOMngl5wN","Houston Dynamo FC","Houston","HOU"
"gOMnJnOMwN","Houston Dynamo FC 2","Houston","HOU"
"2lqRjjnqr0","Indy Eleven","Indy","IND"
"zeQZkL1MKw","Inter Miami CF","Miami","MIA"
"vzqowoZqap","Inter Miami CF II","Miami","MIA"
"odMX7YWQYL","Jacksonville Armada FC","Jacksonville","JAX"
"4wM4rZdqjB","Kansas City Current","Kansas City","KC"
"kaDQ0wRqEv","LA Galaxy","LA Galaxy","LAG"
"4wM4E4d5jB","LA Galaxy II","LA Galaxy II","LAG"
"Xj5Yy7y5bd","Lansing Ignite FC","Lansing","LAN"
"Pk5LzyGQOW","Las Vegas Lights FC","Las Vegas","LV"
"eVq3ya6MWO","Los Angeles FC","Los Angeles FC","LAFC"
"KAqBvpmqbg","Loudoun United FC","Loudoun","LDN"
"OlMlejP5Lz","Louisville City FC","Louisville","LOU"
"NWMWgNDMlz","Memphis 901 FC","Memphis","MEM"
